date,home_team,away_team,home_elo,away_elo,elo_diff,is_neutral,is_worldcup,home_score,away_score
2010-01-02,Iran,North Korea,1500.0,1500.0,0.0,1,0,1,0
2010-01-02,Qatar,Mali,1500.0,1500.0,50.0,0,0,0,0
2010-01-02,Syria,Zimbabwe,1500.0,1500.0,0.0,1,0,6,0
2010-01-02,Yemen,Tajikistan,1500.0,1500.0,50.0,0,0,0,1
2010-01-03,Angola,Gambia,1500.0,1500.0,0.0,1,0,1,1
2010-01-04,Egypt,Mali,1500.0,1500.7146311740837,-0.7146311740837064,1,0,1,0
2010-01-04,Tanzania,Ivory Coast,1500.0,1500.0,50.0,0,0,0,1
2010-01-05,Ghana,Malawi,1500.0,1500.0,0.0,1,0,0,0
2010-01-06,Yemen,Japan,1494.2853688259163,1500.0,44.285368825916294,0,0,2,3
2010-01-06,United Arab Emirates,Malaysia,1500.0,1500.0,50.0,0,0,1,0
2010-01-06,Thailand,Jordan,1500.0,1500.0,50.0,0,0,0,0
2010-01-06,Singapore,Iran,1500.0,1505.0,45.0,0,0,1,3
2010-01-06,Kuwait,Australia,1500.0,1500.0,50.0,0,0,2,2
2010-01-06,Lebanon,Vietnam,1500.0,1500.0,50.0,0,0,1,1
2010-01-06,Gabon,Mozambique,1500.0,1500.0,0.0,1,0,2,0
2010-01-06,China PR,Syria,1500.0,1510.625,39.375,0,0,0,0
2010-01-06,Benin,Libya,1500.0,1500.0,50.0,0,0,1,0
2010-01-06,Bahrain,Hong Kong,1500.0,1500.0,50.0,0,0,4,0
2010-01-06,Indonesia,Oman,1500.0,1500.0,50.0,0,0,1,2
2010-01-07,Rwanda,Ivory Coast,1500.0,1505.7146311740837,-5.714631174083706,1,0,0,2
2010-01-09,Kenya,Cameroon,1500.0,1500.0,50.0,0,0,1,3
2010-01-09,Tunisia,Gambia,1500.0,1500.0,50.0,0,0,1,2
2010-01-09,Zambia,South Korea,1500.0,1500.0,0.0,1,0,4,2
2010-01-10,Angola,Mali,1500.0,1495.7043468192844,54.29565318071559,0,0,4,4
2010-01-11,Ivory Coast,Burkina Faso,1513.0912820672233,1500.0,13.091282067223347,1,0,0,0
2010-01-11,Malawi,Algeria,1500.0,1500.0,0.0,1,0,3,0
2010-01-12,Mozambique,Benin,1492.5,1504.2853688259163,-11.785368825916294,1,0,2,2
2010-01-12,Egypt,Nigeria,1505.0102843547993,1500.0,5.010284354799296,1,0,3,1
2010-01-13,Zambia,Tunisia,1507.5,1494.2853688259163,13.214631174083706,1,0,1,1
2010-01-13,Cameroon,Gabon,1508.5719467611257,1507.5,1.0719467611256732,1,0,0,1
2010-01-14,Angola,Malawi,1499.2249221455152,1508.75,40.474922145515166,0,0,2,0
2010-01-14,Mali,Algeria,1496.4794246737692,1491.25,5.229424673769245,1,0,0,1
2010-01-15,Ivory Coast,Ghana,1512.9029724837462,1500.0,12.902972483746225,1,0,3,1
2010-01-15,Yemen,Kenya,1477.383703380587,1491.4280532388743,35.95565014171257,0,0,3,1
2010-01-16,Egypt,Mozambique,1512.4021361695861,1492.669540069802,19.732596099784132,1,0,2,0
2010-01-16,Nigeria,Benin,1492.6081481852132,1504.1158287561143,-11.50768057090113,1,0,1,0
2010-01-17,Cameroon,Zambia,1503.5565202561206,1507.3099178218458,-3.7533975657252086,1,0,3,2
2010-01-17,Gabon,Tunisia,1512.515426505005,1494.4754510040705,18.039975500934588,1,0,0,0
2010-01-17,Thailand,Singapore,1497.8561064777487,1474.601977939181,73.25412853856756,0,0,1,0
2010-01-17,Vietnam,China PR,1502.1438935222513,1498.3072853478618,53.83660817438954,0,0,1,2
2010-01-18,Angola,Algeria,1505.8551319078022,1496.325251788002,59.529880119800055,0,0,0,0
2010-01-18,Finland,South Korea,1500.0,1492.5,7.5,1,0,0,2
2010-01-18,Mali,Malawi,1491.4041728857671,1502.119790237713,-10.715617351945866,1,0,3,1
2010-01-19,Burkina Faso,Ghana,1500.1883095834771,1492.7784050694904,7.409904513986703,1,0,0,1
2010-01-20,Chile,Panama,1500.0,1500.0,50.0,0,0,2,1
2010-01-20,Egypt,Benin,1519.4766312562208,1498.9502804541632,20.52635080205755,1,0,2,0
2010-01-20,Nigeria,Mozambique,1497.7736964871642,1485.5950449831673,12.178651503996889,1,0,3,0
2010-01-20,Oman,Sweden,1517.1438935222513,1500.0,67.14389352225135,0,0,0,1
2010-01-20,Thailand,Poland,1501.8172434370672,1500.0,51.81724343706719,0,0,1,3
2010-01-20,Yemen,Bahrain,1484.1102973465356,1524.1051996457786,10.005097700757005,0,0,3,0
2010-01-21,Cameroon,Tunisia,1508.6105338878813,1494.734834061887,13.875699825994161,1,0,2,2
2010-01-21,Gabon,Zambia,1512.2560434471884,1502.2559041900852,10.000139257103228,1,0,1,2
2010-01-22,Latvia,South Korea,1500.0,1500.1618753711853,-0.16187537118526052,1,0,0,1
2010-01-23,Poland,Singapore,1508.610344705636,1470.6408409798626,37.96950372577339,1,0,6,1
2010-01-23,Syria,Sweden,1512.3177146521382,1505.9544258945614,56.36328875757681,0,0,1,1
2010-01-23,United States,Honduras,1500.0,1500.0,50.0,0,0,1,3
2010-01-24,Angola,Ghana,1505.0067143801016,1497.8850260021215,57.121688377980036,0,0,0,1
2010-01-24,Ivory Coast,Algeria,1520.1245674142558,1497.1736693157027,22.950898098553125,1,0,2,3
2010-01-25,Zambia,Nigeria,1507.3997780341567,1506.2171084996155,1.182669534541219,1,0,0,0
2010-01-25,Egypt,Cameroon,1526.534049165244,1508.4109526150953,18.123096550148603,1,0,3,1
2010-01-26,Argentina,Costa Rica,1500.0,1500.0,50.0,0,0,3,2
2010-01-27,South Africa,Zimbabwe,1500.0,1489.375,60.625,0,0,3,0
2010-01-28,Algeria,Egypt,1502.503479702504,1533.6431851175012,-31.139705414997252,1,0,0,4
2010-01-28,Ghana,Nigeria,1503.6997456229742,1506.234128416629,-2.534382793654686,1,0,1,0
2010-01-30,Nigeria,Algeria,1501.1976563632693,1493.9664926908006,7.2311636724687105,1,0,1,0
2010-01-31,Ghana,Egypt,1508.7362176763338,1542.1801721292045,-33.443954452870685,1,0,0,1
2010-01-31,Jamaica,Canada,1500.0,1500.0,50.0,0,0,1,0
2010-02-02,Japan,Venezuela,1516.9016654453294,1500.0,66.9016654453294,0,0,0,0
2010-02-06,Japan,China PR,1515.9505989217369,1515.613172630897,50.33742629083986,0,0,0,0
2010-02-07,South Korea,Hong Kong,1505.1595457975,1475.8948003542214,29.26474544327857,1,0,5,0
2010-02-10,China PR,South Korea,1516.3325599009704,1514.3192250814577,2.0133348195126928,1,0,3,0
2010-02-10,Argentina,Jamaica,1504.2853688259163,1504.2853688259163,50.0,0,0,2,1
2010-02-11,Japan,Hong Kong,1515.2312116516634,1466.7351210702636,98.49609058139981,0,0,3,0
2010-02-14,Hong Kong,China PR,1460.401313345034,1525.0318555885256,-64.63054224349162,1,0,0,2
2010-02-14,Japan,South Korea,1521.5650193768931,1505.6199293939026,65.94508998299057,0,0,1,3
2010-02-16,Sri Lanka,Myanmar,1500.0,1500.0,50.0,0,0,0,4
2010-02-16,Tajikistan,Bangladesh,1505.7146311740837,1500.0,5.714631174083706,1,0,1,2
2010-02-17,North Korea,Turkmenistan,1495.0,1500.0,-5.0,1,0,1,1
2010-02-18,Bangladesh,Myanmar,1505.082232737907,1510.7149334514072,-5.632700713500299,1,0,1,2
2010-02-18,Sri Lanka,Tajikistan,1489.2850665485928,1500.6323984361768,38.652668112415995,0,0,1,3
2010-02-19,Kuwait,Syria,1497.8561064777487,1511.513623261388,-13.657516783639267,1,0,1,1
2010-02-19,Kyrgyzstan,North Korea,1500.0,1495.0719508170905,4.92804918290949,1,0,0,4
